"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.034390417E0,-7.908055115E-1,3.359014893E0,1.228151047E1
6.054482417E0,9.481283569E-1,3.591780853E0,1.444226715E1
6.074574417E0,2.705473938E0,3.154091034E0,1.477412704E1
6.094666417E0,3.352129211E0,2.919977875E0,1.409798309E1
6.114758417E0,2.506837006E0,4.184997253E0,1.300091446E1
6.134850417E0,5.043013000E-1,6.148314514E0,1.253253845E1
6.154942417E0,-5.442681885E-1,6.583010559E0,1.189905579E1
6.175034417E0,7.030879211E-1,5.920637970E0,1.264720001E1
6.195126417E0,1.055455170E0,4.665498047E0,1.361628479E1
6.215218417E0,-1.764830017E-1,3.637286224E0,1.279898438E1
6.235310417E0,-1.149759064E0,3.143014069E0,1.094793365E1
6.255402417E0,-1.081950073E0,3.142565002E0,9.112749939E0
6.275494417E0,-6.026467896E-1,3.239563293E0,7.696544952E0
6.295586417E0,-5.777984619E-2,3.167862396E0,6.175557861E0
6.315678417E0,3.469784546E-1,2.930905151E0,5.091063080E0
6.335770417E0,5.572911072E-1,2.694846039E0,4.948559418E0
6.355862417E0,3.996688843E-1,2.600392456E0,5.081183624E0
6.375953417E0,-1.197509766E-2,2.548600159E0,5.071453857E0
6.396045417E0,-5.255570984E-1,2.298470306E0,5.099445648E0
6.416137417E0,-8.348139954E-1,2.086211700E0,5.259911957E0
6.436229417E0,-6.944059753E-1,2.117796021E0,5.404660950E0
6.456321417E0,-5.245092773E-1,2.319277039E0,5.603447571E0
6.476413417E0,-5.528004456E-1,2.417323151E0,5.810167694E0
6.496505417E0,-8.566685486E-1,2.408341827E0,6.228098602E0
6.516597417E0,-1.134490814E0,2.686912537E0,7.873177643E0
6.536689417E0,-1.187330933E0,2.848426666E0,1.004680756E1
6.556781417E0,-1.041683807E0,2.848875732E0,1.213361801E1
6.576873417E0,-1.399888916E0,3.331921234E0,1.328412552E1
6.596965417E0,-3.206033020E0,4.287384338E0,1.413405807E1
6.617057417E0,-4.459376678E0,5.858666840E0,1.578632217E1
6.637149417E0,-2.752176819E0,6.169720001E0,1.656260788E1
6.657241417E0,2.917433167E-1,5.442083130E0,1.725476852E1
6.677333417E0,8.954379272E-1,5.245242462E0,1.860570923E1
6.697425417E0,-5.505551147E-1,4.542453918E0,1.722902206E1
6.717517417E0,-1.586101685E0,3.873794403E0,1.360236374E1
6.737609417E0,-1.673819275E0,3.547922058E0,9.557475128E0
6.757701417E0,-1.184037781E0,3.436703339E0,6.134094086E0
6.777793417E0,-5.050497437E-1,3.010988617E0,3.693120117E0
6.797885417E0,-1.444496155E-1,2.238594818E0,3.402723999E0
6.817977417E0,-2.706372070E-1,1.656605072E0,5.077291718E0
6.838069417E0,-6.676116943E-1,9.497749329E-1,5.554050293E0
6.858161375E0,-1.027613068E0,4.019142151E-1,4.016298065E0
6.878253375E0,-1.200054474E0,3.323089600E-2,2.507136383E0
6.898344375E0,-1.115031281E0,-5.138813782E-1,1.461710358E0
