"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.603280333E0,8.786727905E-2,2.952460327E0,6.016738129E0
4.623276333E0,-1.742376709E-1,2.841690674E0,5.893544312E0
4.643272333E0,-6.002517700E-1,2.708168335E0,5.894442444E0
4.663267333E0,-5.869294739E-1,2.461032257E0,5.820945282E0
4.683263333E0,-4.379891968E-1,2.512974243E0,5.927972717E0
4.703259333E0,-4.956193542E-1,2.978655853E0,6.260581055E0
4.723255333E0,-3.908372498E-1,3.433410187E0,6.303242340E0
4.743251333E0,-3.812571716E-1,3.758534088E0,6.481371918E0
4.763246333E0,-5.635780334E-1,3.899540863E0,6.794071655E0
4.783242333E0,-5.840853882E-1,4.203259277E0,7.419920197E0
4.803238333E0,-2.885998535E-1,4.596491547E0,8.262368317E0
4.823234333E0,2.032772827E-1,4.813689880E0,8.965007172E0
4.843229333E0,6.348298645E-1,5.015320587E0,9.635912018E0
4.863225333E0,7.330256653E-1,4.929399261E0,1.037462585E1
4.883221333E0,4.105961609E-1,4.625231781E0,1.112172226E1
4.903217333E0,2.701881409E-1,4.309687958E0,1.131736542E1
4.923213333E0,4.682263184E-1,4.363575897E0,1.087578369E1
4.943208333E0,6.718029785E-1,4.796176300E0,1.059706329E1
4.963204333E0,8.937913513E-1,4.823569336E0,1.107427094E1
4.983200333E0,1.383722534E0,4.304598541E0,1.259376114E1
5.003196333E0,2.168091431E0,3.808081055E0,1.390548340E1
5.023191333E0,2.157912598E0,3.669319611E0,1.302396652E1
5.043187333E0,1.764231262E0,3.834276581E0,1.083551743E1
5.063183333E0,1.624272308E0,3.972738647E0,9.157357178E0
5.083179333E0,1.678459625E0,4.013453979E0,8.093968506E0
5.103175333E0,1.784588928E0,4.084406433E0,7.317533112E0
5.123170333E0,1.804647217E0,4.399800568E0,7.154372406E0
5.143166333E0,1.646575928E0,4.289030914E0,7.201823730E0
5.163162333E0,1.541195068E0,3.928281097E0,7.381150818E0
5.183158333E0,1.528471527E0,3.534300385E0,7.544610901E0
5.203154333E0,1.686991882E0,3.281176758E0,7.444618835E0
5.223149333E0,1.821262665E0,3.456013184E0,7.158264313E0
5.243145333E0,1.708547058E0,3.583098907E0,6.667135620E0
5.263141333E0,1.281485138E0,3.282523956E0,5.826034698E0
5.283137333E0,1.018631744E0,3.106639709E0,5.484295349E0
5.303133333E0,9.286688232E-1,3.065774689E0,5.521717529E0
5.323128333E0,1.061442719E0,3.321143646E0,5.809119873E0
5.343124333E0,1.271156616E0,3.702251129E0,5.925428009E0
5.363120333E0,9.114546204E-1,3.839815063E0,6.043382721E0
5.383116333E0,6.602769470E-1,3.857178955E0,7.032825165E0
5.403111333E0,5.254074097E-2,4.214485931E0,7.256609802E0
5.423107333E0,-3.930825806E-1,4.733606415E0,6.987619171E0
5.443103333E0,-4.730163574E-1,5.221741333E0,6.818919983E0
5.463099333E0,-2.894979858E-1,5.773943024E0,8.583151245E0
5.483095333E0,-1.139131165E-1,5.518574066E0,1.056622742E1
5.503090333E0,-2.121089172E-1,5.375621338E0,1.187315964E1
5.523086333E0,-5.333409119E-1,5.460195465E0,1.258103760E1
5.543082333E0,-7.226971436E-1,5.456752625E0,1.287502625E1
5.563078333E0,-1.011895752E0,5.547913055E0,1.236024673E1
5.583074333E0,-1.430126038E0,5.817801819E0,1.167018173E1
5.603069333E0,-1.215771790E0,5.930667114E0,1.224738144E1
5.623065333E0,-1.271455994E0,5.683231659E0,1.334684509E1
5.643061333E0,-1.642983398E0,4.789290619E0,1.361583572E1
5.663057333E0,-2.010319519E0,4.425097961E0,1.313533493E1
5.683053333E0,-1.764231262E0,4.328249359E0,1.259346176E1
5.703048333E0,-1.417402496E0,4.096830597E0,1.193438232E1
5.723044333E0,-8.949888611E-1,3.754342804E0,1.085108505E1
5.743040333E0,-7.982899475E-1,3.454516296E0,9.771979065E0
5.763036333E0,-8.018824768E-1,3.429817657E0,8.259973297E0
5.783032333E0,-8.689430237E-1,3.525468750E0,7.474406891E0
5.803027333E0,-7.676037598E-1,3.549418945E0,7.462132416E0
5.823023333E0,-6.204597473E-1,3.455115051E0,7.301965485E0
5.843019333E0,-5.236111450E-1,3.238365784E0,6.854545898E0
5.863015333E0,7.083270264E-1,2.379751282E0,7.058571625E0
5.883011333E0,3.079096985E-1,2.769989777E0,7.110513611E0
