"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.267497881E0,2.405974567E-1,1.985253580E-2,2.343362868E-1
5.287607725E0,2.207449228E-1,8.582404256E-2,1.634780020E-1
5.307717569E0,1.701973230E-1,8.842013776E-2,1.646996886E-1
5.327827413E0,1.094180122E-1,4.428642616E-2,1.877591759E-1
5.347937256E0,9.460496902E-2,1.206423342E-2,1.944784969E-1
5.368047152E0,1.375169903E-1,3.802524135E-2,1.747786701E-1
5.388156996E0,1.766112149E-1,4.107947648E-2,1.275907159E-1
5.408266840E0,1.353790164E-1,-7.635590737E-4,5.917582661E-2
5.428376683E0,3.046600707E-2,-8.032641560E-2,2.519744914E-3
5.448486527E0,-5.215108395E-2,-1.298050433E-1,-2.252499200E-2
5.468596371E0,-6.055023521E-2,-1.209477559E-1,-4.482091591E-2
5.488706267E0,-2.588465251E-2,-1.128540337E-1,-7.032378763E-2
5.508816111E0,-7.711946499E-3,-1.673721522E-1,-6.452073902E-2
5.528925954E0,-2.756448276E-2,-2.637332976E-1,-6.406260282E-2
5.549035798E0,-5.932854116E-2,-2.808370292E-1,-7.246175408E-2
5.569145642E0,-8.116632700E-2,-2.761029601E-1,-5.948125198E-2
5.589255538E0,-9.567394853E-2,-2.548760176E-1,-4.191939160E-2
5.609365381E0,-9.002361447E-2,-1.249182671E-1,-4.207210615E-2
5.629475225E0,-2.573194169E-2,-6.872031838E-3,-2.588465251E-2
5.649585069E0,-8.475505747E-3,9.162708884E-4,9.391776286E-3
5.669694913E0,-1.405712217E-1,-1.388150454E-1,6.268820167E-2
5.689804808E0,-2.766374648E-1,-3.797942698E-1,5.184566230E-2
5.709914652E0,-2.977116704E-1,-5.112791657E-1,-1.265217364E-1
5.730024496E0,-2.775537372E-1,-4.454603493E-1,-3.444415033E-1
5.750134340E0,-3.088596463E-1,-4.362976551E-1,-3.897969127E-1
5.770244183E0,-3.145099878E-1,-3.855973184E-1,-2.949628830E-1
