"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.839477542E0,-2.115401001E0,3.994293823E0,1.480226852E1
2.859473542E0,-2.104324036E0,4.690046997E0,1.536000870E1
2.879469542E0,-2.939287720E0,3.741319885E0,1.582000214E1
2.899465542E0,-2.135010223E0,2.591860199E0,1.645602951E1
2.919460542E0,-1.833836517E0,2.309247894E0,1.628598312E1
2.939456542E0,-1.317260742E0,2.567910004E0,1.413525558E1
2.959452542E0,-5.459147644E-1,3.217109985E0,1.127335693E1
2.979448542E0,3.900888062E-1,4.130959625E0,8.940009155E0
2.999445583E0,5.161267090E-1,3.822301483E0,7.765102386E0
3.019440583E0,-7.948471069E-2,3.406765594E0,7.408543854E0
3.039436583E0,-1.483415222E-1,2.808310089E0,7.404352570E0
3.059432583E0,2.683918762E-1,2.233056335E0,7.715405731E0
3.079428583E0,2.330653381E-1,1.808838501E0,7.847431183E0
3.099423583E0,4.334985352E-1,2.251767426E0,7.594457245E0
3.119419583E0,4.269122314E-1,2.337239685E0,7.010970612E0
3.139415583E0,1.257385254E-1,2.201472015E0,6.462211761E0
3.159411583E0,-1.859133911E-1,2.139949951E0,6.267466736E0
3.179406583E0,-5.962101746E-1,2.525697784E0,6.352340240E0
3.199402583E0,-8.300239563E-1,2.393223267E0,6.314618683E0
3.219398583E0,-6.173162842E-1,2.296973419E0,7.086563416E0
3.239394583E0,-3.183879089E-1,2.076631622E0,7.433092804E0
3.259389583E0,-1.321751404E-1,2.002236328E0,7.461833038E0
3.279385583E0,-2.592608643E-1,2.137854309E0,7.511080627E0
3.299381583E0,-8.526269531E-1,1.901346130E0,7.691156158E0
3.319377583E0,-1.252295837E0,1.335373077E0,8.114625549E0
3.339373583E0,-9.641450500E-1,9.515711975E-1,8.874744873E0
3.359368583E0,-1.111289062E0,1.129850464E0,8.745862885E0
3.379364583E0,-1.152004395E0,1.538350983E0,8.045319672E0
3.399360583E0,-1.051413574E0,2.592309265E0,8.057444458E0
3.419356583E0,-4.487667847E-1,3.467389526E0,1.031789383E1
3.439351583E0,8.201445007E-1,2.481240234E0,1.388422760E1
3.459347583E0,1.509910126E0,1.312171326E0,1.599648514E1
3.479343583E0,8.756790161E-1,9.204359436E-1,1.736329285E1
3.499339583E0,1.947450256E-1,1.040336609E0,1.669657928E1
3.519334583E0,-6.062393188E-1,2.258952484E0,1.427701080E1
3.539330583E0,1.401385803E0,2.072739716E0,1.085647385E1
3.559326583E0,8.884025574E-1,3.286116486E0,8.663085022E0
3.579322583E0,1.196012878E0,3.591780853E0,7.317682800E0
3.599317583E0,7.268884277E-1,3.282973022E0,6.440955963E0
3.619313583E0,6.279441833E-1,3.319646759E0,5.317093048E0
3.639309583E0,1.167871399E0,3.132236481E0,4.772226105E0
3.659305583E0,2.279160461E0,2.711760864E0,6.065985718E0
3.679300583E0,1.853146362E0,2.600242767E0,7.056775360E0
3.699296583E0,1.981130219E0,2.157463531E0,8.058342590E0
3.719292583E0,1.054257660E0,1.007405090E0,9.419911194E0
3.739288583E0,-6.592291260E-1,6.270460510E-1,9.107211456E0
3.759284583E0,-1.508712616E0,4.312532043E-1,8.096513214E0
3.779279583E0,-1.662293243E0,6.489006042E-1,8.155191193E0
3.799275583E0,-1.397493896E0,1.140628052E0,8.626261597E0
3.819271583E0,-1.291514282E0,1.366508331E0,9.388775940E0
3.839267583E0,-1.248703308E0,1.683998108E0,9.813293152E0
3.859262583E0,-1.385369110E0,2.020947418E0,9.389374695E0
3.879258583E0,-1.180894318E0,1.757495270E0,8.875643005E0
3.899254583E0,-1.748813324E0,1.766775970E0,8.824599152E0
3.919250583E0,-2.128124542E0,2.031275940E0,1.006117767E1
3.939245583E0,-1.836530914E0,1.428629150E0,1.153785690E1
3.959241583E0,-2.171234894E0,7.881111145E-1,1.189037384E1
3.979237583E0,-2.411185913E0,9.729766846E-2,1.129610962E1
3.999233167E0,-2.725831604E0,-2.124082947E-1,1.163275955E1
4.019228167E0,-3.332969055E0,-1.119671631E0,1.319700668E1
4.039224167E0,-1.438957672E0,-1.914219360E0,1.608090958E1
4.059220167E0,4.831951904E-1,-2.146536255E0,1.789603500E1
4.079216167E0,1.312770081E0,-2.162552948E0,1.714040634E1
4.099211167E0,1.138532410E0,-2.229164429E0,1.454689957E1
4.119207167E0,8.906478882E-2,-1.387315063E0,1.242566071E1
4.139203167E0,-6.255491638E-1,-3.441343689E-1,1.062011536E1
4.159199167E0,-2.848576355E-1,3.571572876E-1,9.282796326E0
4.179194167E0,5.977070618E-1,7.129673767E-1,8.455017700E0
4.199190167E0,9.410929871E-1,7.081773376E-1,7.771988068E0
4.219186167E0,7.000941467E-1,4.327500916E-1,7.654332733E0
4.239182167E0,-4.312532043E-1,1.316362610E0,7.874674530E0
4.259177167E0,-3.192860413E-1,2.233355713E-1,6.808441772E0
4.279173167E0,-1.811233521E-1,2.978805542E-1,6.488257599E0
4.299169167E0,-3.457809448E-2,-2.474354553E-1,6.565946045E0
4.319165167E0,6.122268677E-1,-1.799258423E-1,6.402785339E0
4.339160167E0,8.975335693E-1,-3.570075989E-1,6.686146088E0
4.359156167E0,1.021026764E0,-7.002438354E-1,7.514373779E0
4.379152167E0,3.685336304E-1,-8.057743835E-1,8.076454926E0
4.399148167E0,-9.518705750E-1,-5.327421570E-1,8.212372284E0
4.419144167E0,-1.228345642E0,-7.689509583E-1,7.827971649E0
4.439139167E0,-1.419498138E0,-7.569758606E-1,7.583829346E0
4.459135167E0,-1.633702698E0,1.230441284E-1,7.646848297E0
4.479131167E0,-1.667831726E0,7.188052368E-1,7.709268494E0
4.499127167E0,-1.329834595E0,7.846682739E-1,9.073232117E0
4.519122167E0,-1.235381012E0,3.884422302E-1,1.021311172E1
4.539118167E0,-1.130000153E0,1.062789917E-2,1.079076050E1
4.559114167E0,-6.721023560E-1,1.063688049E0,1.093850327E1
4.579110167E0,-4.683760071E-1,2.173480225E0,1.102861588E1
4.599105167E0,-2.474354553E-1,2.324366455E0,1.263552429E1
4.619101167E0,4.614903259E-1,1.156644745E0,1.499671417E1
4.639097167E0,5.544470215E-1,-5.792953491E-2,1.702454727E1
4.659093167E0,-8.442443848E-2,-1.190025330E-1,1.632804565E1
